Faculty Name,# Pubs,Adj. #,University,Faculty Home Page,dblp
Kathleen M. Carley  nlp,7.0,3.0,Carnegie Mellon University,http://www.casos.cs.cmu.edu/bios/carley/carley.html,https://dblp.org/pers/hd/c/Carley:Kathleen_M%3D
Patrick Carrington  hci,7.0,1.3,Carnegie Mellon University,http://www.patrickcarrington.com,https://dblp.org/pers/hd/c/Carrington:Patrick
Virgil D. Gligor  security,7.0,2.3,Carnegie Mellon University,https://users.ece.cmu.edu/~virgil,https://dblp.org/pers/hd/g/Gligor:Virgil_D%3D
Amy Ogan  hci,7.0,1.1,Carnegie Mellon University,https://www.hcii.cmu.edu/people/amy-ogan,https://dblp.org/pers/hd/o/Ogan:Amy
Peter Steenkiste  networks,7.0,1.3,Carnegie Mellon University,http://www.cs.cmu.edu/~prs,https://dblp.org/pers/hd/s/Steenkiste:Peter
"George Amvrosiadis  hpc  ,  os",6.0,1.3,Carnegie Mellon University,http://www.ece.cmu.edu/~gamvrosi,https://dblp.org/pers/hd/a/Amvrosiadis:George
Ziv Bar-Joseph  comp. bio,6.0,2.0,Carnegie Mellon University,http://www.cs.cmu.edu/~zivbj,https://dblp.org/pers/hd/b/Bar=Joseph:Ziv
James C. Hoe  arch,6.0,1.3,Carnegie Mellon University,http://users.ece.cmu.edu/~jhoe,https://dblp.org/pers/hd/h/Hoe:James_C%3D
"Levent Burak Kara  graphics  ,  hci",6.0,2.0,Carnegie Mellon University,http://vdel.me.cmu.edu,https://dblp.org/pers/hd/k/Kara:Levent_Burak
Kemal Oflazer  nlp,6.0,1.6,Carnegie Mellon University,https://www.andrew.cmu.edu/user/ko,https://dblp.org/pers/hd/o/Oflazer:Kemal
"Bruno Sinopoli  embedded  ,  networks",6.0,1.2,Carnegie Mellon University,https://users.ece.cmu.edu/~brunos,https://dblp.org/pers/hd/s/Sinopoli:Bruno
Karl Crary  pl,5.0,4.0,Carnegie Mellon University,https://www.cs.cmu.edu/~crary,https://dblp.org/pers/hd/c/Crary:Karl
Changliu Liu  robotics,5.0,1.6,Carnegie Mellon University,https://www.ri.cmu.edu/ri-faculty/changliu-liu,https://dblp.org/pers/hd/l/Liu:Changliu
